"DATA_YEAR","ARRESTEE_ID","INCIDENT_ID","ARRESTEE_SEQ_NUM","ARREST_DATE","ARREST_TYPE_ID","MULTIPLE_INDICATOR","OFFENSE_TYPE_ID","AGE_ID","AGE_NUM","SEX_CODE","RACE_ID","ETHNICITY_ID","RESIDENT_CODE","UNDER_18_DISPOSITION_CODE","CLEARANCE_IND","AGE_RANGE_LOW_NUM","AGE_RANGE_HIGH_NUM"
2020,41250034,133557680,1,20-DEC-20,2,"N",16,5,61,"F",1,2,"R","","",61,0
2020,41255500,133552606,1,07-DEC-20,3,"N",32,5,70,"M",1,2,"N","","",70,0
2020,41641578,134758522,1,13-MAY-20,3,"N",27,5,26,"M",1,2,"R","","",26,0
2020,41638090,134758577,1,06-MAY-20,3,"N",27,5,33,"M",1,,"R","","",33,0
2020,41638116,134754372,1,05-DEC-20,3,"N",27,5,20,"M",1,,"R","","",20,0
2020,41641623,134758645,1,22-JUN-20,3,"N",51,5,32,"M",1,,"R","","",32,0
2020,41641625,134754410,1,07-JUL-20,3,"N",16,5,28,"F",1,2,"N","","",28,0
2020,41641626,134754410,2,07-JUL-20,2,"N",16,5,29,"M",1,,"R","","",29,0
2020,41641639,134758687,1,08-SEP-20,2,"N",5,5,36,"M",1,,"R","","",36,0
2020,41641652,134758740,1,13-SEP-20,2,"N",51,5,19,"M",1,2,"R","","",19,0
2020,41638161,134758751,1,28-DEC-20,2,"N",23,5,35,"M",1,2,"","","",35,0
2020,41641705,134758897,1,07-FEB-20,3,"N",27,5,45,"M",1,2,"R","","",45,0
2020,41638266,134758975,1,08-DEC-20,2,"N",44,5,46,"M",1,2,"R","","",46,0
2020,41638291,134754848,1,25-MAY-20,3,"N",27,5,48,"M",1,3,"R","","",48,0
2020,41638357,134755017,1,11-SEP-20,2,"M",51,5,57,"M",1,2,"R","","",57,0
2020,41638358,134759163,1,10-DEC-20,1,"C",5,5,32,"M",2,2,"R","","",32,0
2020,41638365,134755035,1,10-DEC-20,1,"C",5,5,32,"M",2,2,"R","","",32,0
2020,41638398,134755129,1,14-JAN-21,3,"N",27,5,32,"M",1,2,"N","","",32,0
2020,41638405,134759265,1,07-AUG-20,2,"M",27,5,64,"M",1,2,"R","","",64,0
2020,41638412,134759296,1,11-FEB-21,3,"C",56,5,40,"M",1,2,"R","","",40,0
2020,41638434,134759379,1,15-DEC-20,2,"N",62,5,14,"M",2,2,"R","R","",14,0
2020,41638436,134759381,1,12-DEC-20,2,"C",5,5,20,"M",1,2,"R","","",20,0
2020,41641637,134758683,1,04-JAN-21,1,"N",37,5,37,"M",1,,"R","","",37,0
2020,41638205,134758872,1,13-DEC-20,2,"C",5,5,29,"F",1,2,"R","","",29,0
2020,41638360,134759159,1,01-DEC-20,2,"N",51,5,60,"F",1,2,"R","","",60,0
2020,41638420,134759323,1,25-NOV-20,2,"N",51,5,35,"M",1,,"R","","",35,0
2020,37629898,122556240,1,22-MAR-20,3,"N",51,5,24,"M",1,2,"","","",24,0
2020,37639524,122556272,1,11-FEB-20,2,"N",53,5,29,"F",1,,"N","","",29,0
2020,37629926,122556289,1,23-FEB-20,2,"N",51,5,34,"M",1,,"R","","",34,0
2020,37639527,122556303,1,10-MAR-20,1,"N",49,5,55,"M",1,2,"","","",55,0
2020,37634589,122556344,1,05-FEB-20,2,"N",45,5,23,"F",1,2,"R","","",23,0
2020,37629938,122566320,1,04-MAR-20,2,"N",51,5,28,"F",1,,"","","",28,0
2020,37639612,122556749,1,10-FEB-20,2,"N",45,5,32,"F",1,2,"N","","",32,0
2020,40615089,131359922,1,21-OCT-20,2,"N",23,5,29,"F",1,2,"R","","",29,0
2020,40615101,131359935,1,24-OCT-20,1,"N",27,5,38,"M",1,2,"R","","",38,0
2020,40615110,131365080,1,27-OCT-20,1,"N",49,5,36,"M",1,2,"R","","",36,0
2020,40611032,131365113,1,08-NOV-20,2,"N",16,5,58,"M",1,,"U","","",58,0
2020,40611037,131365141,2,04-SEP-20,1,"N",16,5,37,"F",1,2,"","","",37,0
2020,40611036,131365141,1,04-SEP-20,3,"N",16,5,34,"M",1,2,"","","",34,0
2020,40611041,131365163,1,13-NOV-20,3,"N",23,5,51,"M",1,2,"N","","",51,0
