"DATA_YEAR","PROPERTY_ID","PROP_DESC_ID","PROPERTY_VALUE","DATE_RECOVERED","NIBRS_PROP_DESC_ID"
2020,127663740,36,700,,142045244
2020,127659277,25,20,,142032170
2020,127659277,16,5,,142032173
2020,127665861,52,0,,142039614
2020,127663833,20,10,,142045351
2020,127663890,20,50,,142045401
2020,127663900,20,200,,142039821
2020,127666065,16,50,,142045432
2020,127666083,17,150,,142039850
2020,128432449,63,2860,,143036410
2020,128432457,20,40,,143036417
2020,128432538,8,67,,143036503
2020,128432668,63,10,,143036640
2020,128432668,51,0,,143036638
2020,128432766,45,1,,143036770
2020,128432937,42,158,,143036956
2020,128432961,2,100,,143036989
2020,128432973,63,8400,,143037002
2020,128432977,20,1,23-APR-20,143037011
2020,128432979,20,1,,143037013
2020,128432986,2,1,,143037021
2020,128433003,20,100,,143037037
2020,128433064,19,227,,143037098
2020,126000297,16,100,,139911179
2020,126005050,3,300,,139917919
2020,126000375,3,2500,,139917970
2020,126005102,31,40,,139917971
2020,126000407,20,3350,,139911274
2020,126000453,20,10,,139911320
2020,126000472,21,2041,,139911338
2020,126000497,8,25,,139911366
2020,126929368,63,40,,141108200
2020,128432665,51,0,05-JUN-20,143036635
2020,128432662,51,0,,143036634
2020,128432951,10,,,143036975
2020,128432989,16,20,,143037022
2020,128432993,37,1000,,143037026
2020,128433000,63,150,,143037034
2020,132980519,16,500,,148684668
2020,132980518,63,204,,148684667
2020,132980523,38,1500,,148684672
2020,132978969,54,7000,,148681360
2020,132978978,61,100,,148681371
2020,132980561,10,,,148681407
2020,132979012,20,200,,148681411
2020,132980568,20,8250,,148684728
2020,132980575,8,123,,148684737
2020,132979023,16,30,,148681418
2020,132979041,63,50,,148681434
2020,132979066,36,1350,,148684771
2020,132979106,4,100,,148681496
2020,132979117,20,15,,148681506
2020,132979130,63,80,,148681528
2020,132979132,63,80,20-OCT-20,148681530
2020,132979132,6,80,20-OCT-20,148681529
2020,132979130,6,80,,148681527
2020,132979126,61,30,21-OCT-20,148684816
2020,132980636,61,30,,148684815
2020,132980661,10,,,148684842
2020,128431661,62,340,,143035539
2020,128431672,10,,,143035550
2020,128431801,8,95,,143035710
2020,128431853,16,30,,143035767
2020,128431853,63,100,,143035766
2020,128431946,20,1600,,143035859
2020,128431950,10,690,,143035863
2020,128431985,63,50,,143035896
2020,128431997,10,,,143035902
2020,128432037,10,,,143035954
2020,128432061,38,478,,143035980
2020,128432180,4,400,,143036106
2020,128432253,10,1,,143036187
2020,128432254,10,1,10-JUN-20,143036191
2020,128432259,6,2018,,143036197
2020,128432305,9,0,,143036250
